Id,Date,Transaction,Currency,Description
283,2024-06-04T14:07:37,-567.52,USD,Rent payment
284,2024-02-06T22:07:20,-224.59,USD,Grocery shopping
285,2024-09-30T23:16:50,-296.48,USD,Rent payment
286,2024-09-24T04:39:46,+903.66,USD,School expences
287,2024-07-14T15:34:54,+829.37,USD,Utilities bill
288,2024-11-28T13:36:41,+85.85,USD,Grocery shopping
289,2024-11-10T03:43:38,+262.48,USD,Utilities bill
290,2024-05-01T19:50:06,+356.46,USD,Online purchase
291,2024-08-05T12:22:20,-321.03,USD,Refunds
292,2024-03-07T12:37:56,+718.41,USD,Utilities bill
293,2024-12-07T09:51:22,+165.45,USD,Online purchase
294,2024-10-08T09:12:17,-97.13,USD,Videogames
295,2024-11-19T18:43:52,-79.87,USD,Grocery shopping
296,2024-11-24T21:59:15,-249.29,USD,School expences
297,2024-07-20T05:56:07,-442.4,USD,Medical expenses
298,2024-03-17T07:11:32,+296.78,USD,Videogames
299,2024-05-29T05:35:02,-631.94,USD,Refunds
300,2024-02-28T00:48:57,-163.48,USD,School expences
301,2024-02-05T15:56:26,+390.7,USD,Rent payment
302,2024-01-10T07:27:07,-617.96,USD,Restaurant bill
303,2024-09-20T13:32:20,+489.01,USD,Videogames
304,2024-01-10T16:11:28,+606.27,USD,Medical expenses
305,2024-03-25T15:48:32,-749.8,USD,Restaurant bill
306,2024-03-25T16:15:35,-227.99,USD,Rent payment
307,2024-08-27T21:21:55,+36.02,USD,Online purchase
308,2024-08-21T01:34:42,+782.28,USD,Online purchase
309,2024-04-13T20:19:01,+208.02,USD,Restaurant bill
310,2024-02-19T02:26:37,+754.43,USD,Videogames
311,2024-06-24T03:14:03,+536.35,USD,Salary
312,2024-09-03T12:22:53,-245.74,USD,Restaurant bill
313,2024-01-05T15:31:21,+544.26,USD,Utilities bill
314,2024-01-27T03:28:51,+825.29,USD,Medical expenses
315,2024-01-27T18:13:15,-304.95,USD,Grocery shopping
316,2024-01-18T14:17:39,+573.17,USD,Medical expenses
317,2024-09-14T07:04:19,-227.97,USD,Rent payment
318,2024-07-27T01:33:58,-866.17,USD,Videogames
319,2024-01-25T20:24:35,+754.74,USD,Online purchase
320,2024-01-24T15:32:43,-910.57,USD,School expences
321,2024-11-24T21:44:11,-654.27,USD,Medical expenses
322,2024-02-22T18:51:22,-919.9,USD,Online purchase
323,2024-03-27T14:58:19,-234.77,USD,Rent payment
324,2024-02-13T15:58:26,-190.86,USD,Grocery shopping
325,2024-09-24T02:18:44,+854.39,USD,Videogames
326,2024-02-12T17:49:49,+604.58,USD,Grocery shopping
327,2024-04-30T14:17:17,-25.92,USD,Medical expenses
328,2024-04-29T06:38:26,+669.81,USD,Videogames
329,2024-02-09T16:47:38,+343.51,USD,Online purchase
330,2024-07-10T04:13:07,+357.86,USD,Utilities bill
331,2024-04-16T12:24:20,+759.73,USD,Videogames
332,2024-12-29T00:14:47,-440.81,USD,Online purchase
333,2024-06-12T05:25:28,+46.13,USD,Utilities bill
334,2024-05-23T00:37:41,+439.33,USD,Refunds
335,2024-02-13T19:48:09,-501.16,USD,Utilities bill
336,2024-02-26T19:59:16,+425.36,USD,Salary
337,2024-02-19T01:33:05,-829.22,USD,Utilities bill
338,2024-07-12T18:28:53,-984.11,USD,Videogames
339,2024-09-16T06:47:50,-148.3,USD,Grocery shopping
340,2024-01-11T11:58:14,+881.05,USD,Rent payment
341,2024-08-07T20:45:04,-757.89,USD,Utilities bill
342,2024-01-27T16:32:40,+478.47,USD,Refunds
343,2024-08-09T05:38:43,-839.02,USD,Online purchase
344,2024-07-21T08:58:24,-625.33,USD,Videogames
345,2024-01-28T17:12:47,-592.2,USD,Utilities bill
346,2024-10-20T06:45:30,-789.64,USD,Restaurant bill
347,2024-11-09T21:53:00,-349.66,USD,Rent payment
348,2024-04-07T00:19:05,-19.99,USD,Utilities bill
349,2024-08-02T05:18:10,-923.96,USD,Refunds
350,2024-04-13T22:27:12,-36.1,USD,Salary
351,2024-10-30T04:27:41,-600.27,USD,Salary
352,2024-07-16T13:42:03,+970.25,USD,Medical expenses
353,2024-01-21T22:17:32,+44.51,USD,Salary
354,2024-04-22T09:01:09,+825.51,USD,Grocery shopping
355,2024-11-23T00:25:22,-131.27,USD,Grocery shopping
356,2024-01-11T09:27:45,-786.38,USD,Refunds
357,2024-07-04T23:15:46,+954.52,USD,Rent payment
358,2024-07-17T19:08:22,-339.33,USD,Online purchase
359,2024-03-06T22:01:56,+618.89,USD,Grocery shopping
360,2024-10-20T20:33:20,-886.47,USD,Refunds
361,2024-08-03T23:13:18,-329.64,USD,Medical expenses
362,2024-07-05T07:10:13,-354.86,USD,Grocery shopping
363,2024-10-15T23:18:38,-914.05,USD,Rent payment
364,2024-08-04T03:38:55,+645.11,USD,Videogames
365,2024-02-14T08:18:03,-607.18,USD,Videogames
366,2024-09-29T08:36:18,+93.3,USD,Refunds
367,2024-04-28T10:51:32,-343.95,USD,Rent payment
368,2024-05-23T02:26:39,+896.82,USD,Restaurant bill
369,2024-03-26T15:50:39,+493.31,USD,Online purchase
370,2024-08-19T16:24:21,+724.41,USD,Restaurant bill
371,2024-08-30T23:04:54,-107.37,USD,Salary
372,2024-01-31T21:12:37,-617.81,USD,Utilities bill
373,2024-03-03T13:15:53,+621.58,USD,Restaurant bill
374,2024-02-04T18:27:10,-156.86,USD,School expences
375,2024-05-03T04:18:42,+544.45,USD,Restaurant bill
376,2024-02-20T08:45:40,+450.0,USD,Salary
377,2024-09-08T12:24:27,+262.41,USD,Videogames
378,2024-10-26T08:20:24,-729.23,USD,Restaurant bill
379,2024-11-01T19:12:15,-721.65,USD,Restaurant bill
380,2024-12-24T22:26:09,+361.94,USD,Utilities bill
381,2024-01-28T22:13:42,-46.88,USD,Restaurant bill
382,2024-11-12T14:40:19,+180.55,USD,Utilities bill
383,2024-06-16T20:43:19,-216.63,USD,Salary
384,2024-02-07T12:10:45,-727.22,USD,Medical expenses
385,2024-02-24T15:53:48,+296.49,USD,Online purchase
386,2024-05-13T11:49:02,-609.42,USD,Restaurant bill
387,2024-07-20T12:22:16,-11.1,USD,Medical expenses
388,2024-04-24T20:48:27,-573.16,USD,School expences
389,2024-02-06T13:16:33,+580.6,USD,Salary
390,2024-05-26T10:49:03,+395.61,USD,Videogames
391,2024-08-06T00:02:07,+501.07,USD,School expences
392,2024-05-12T05:44:12,+153.19,USD,Medical expenses
393,2024-08-31T13:32:00,-692.32,USD,Salary
394,2024-12-17T06:14:50,+983.97,USD,Online purchase
395,2024-03-23T00:02:10,-295.03,USD,Online purchase
396,2024-01-08T21:36:15,-338.22,USD,School expences
397,2024-08-01T01:18:15,-66.64,USD,Rent payment
398,2024-11-21T22:15:06,+339.12,USD,Medical expenses
399,2024-09-28T23:27:06,-75.08,USD,School expences
400,2024-08-23T20:25:07,-662.27,USD,Grocery shopping
401,2024-04-12T23:06:08,+7.85,USD,Utilities bill
402,2024-02-28T23:05:12,+776.86,USD,Videogames
403,2024-08-21T18:36:02,+792.44,USD,Videogames
404,2024-02-01T17:41:28,+576.01,USD,Videogames
405,2024-09-09T23:27:20,+86.26,USD,Refunds
406,2024-12-28T14:03:44,+309.2,USD,Grocery shopping
407,2024-06-02T03:01:32,-133.28,USD,Videogames
408,2024-03-15T17:59:21,-165.53,USD,Grocery shopping
409,2024-03-27T00:40:01,+765.33,USD,Restaurant bill
410,2024-07-21T06:13:08,-475.42,USD,School expences
411,2024-09-25T09:09:32,-829.78,USD,Utilities bill
412,2024-11-10T05:09:06,-807.32,USD,Medical expenses
413,2024-06-26T22:03:50,-685.52,USD,School expences
414,2024-01-01T12:45:06,+715.88,USD,Refunds
415,2024-01-18T20:16:16,-769.4,USD,Grocery shopping
416,2024-11-29T07:22:40,-500.38,USD,Restaurant bill
417,2024-02-20T13:47:37,-469.85,USD,Restaurant bill
418,2024-11-21T08:25:27,+224.22,USD,Online purchase
419,2024-09-02T23:40:23,+367.94,USD,Utilities bill
420,2024-12-21T16:15:33,+645.99,USD,Utilities bill
421,2024-08-21T21:04:08,+9.77,USD,Salary
422,2024-05-15T14:20:53,+473.76,USD,Grocery shopping
423,2024-08-26T04:51:14,-68.62,USD,Salary
424,2024-11-17T18:29:49,-104.57,USD,Grocery shopping
425,2024-04-26T14:56:11,-384.07,USD,Utilities bill
426,2024-04-17T11:26:03,-23.13,USD,Salary
427,2024-07-08T12:10:27,+820.32,USD,Refunds
428,2024-02-23T17:45:51,+831.76,USD,Salary
429,2024-07-26T23:16:42,-573.06,USD,Restaurant bill
430,2024-02-26T07:17:14,-109.04,USD,Restaurant bill
431,2024-06-26T14:50:00,-420.92,USD,Medical expenses
432,2024-10-28T15:05:31,+958.66,USD,School expences
433,2024-05-17T11:20:06,+22.71,USD,Online purchase
434,2024-01-19T04:31:37,+786.9,USD,Videogames
435,2024-08-30T01:42:43,+771.93,USD,School expences
436,2024-12-13T06:02:47,+179.8,USD,Medical expenses
437,2024-09-29T00:30:43,+119.5,USD,School expences
438,2024-02-29T20:08:07,+168.02,USD,Medical expenses
439,2024-04-07T00:34:51,+561.48,USD,Medical expenses
440,2024-04-22T21:48:23,-307.31,USD,Refunds
441,2024-07-04T19:02:21,-864.29,USD,Refunds
442,2024-01-26T13:42:52,-25.21,USD,Refunds
443,2024-04-27T14:14:00,-331.34,USD,Grocery shopping
444,2024-06-28T08:36:21,-892.39,USD,Online purchase
445,2024-05-30T20:24:09,-272.72,USD,School expences
446,2024-06-09T08:18:22,-71.64,USD,Salary
447,2024-03-29T21:21:31,-764.86,USD,School expences
448,2024-03-19T11:27:37,+379.22,USD,Grocery shopping
449,2024-07-04T00:54:50,-62.48,USD,Grocery shopping
450,2024-05-30T12:00:05,+203.29,USD,School expences
451,2024-08-30T06:28:28,+193.97,USD,Medical expenses
452,2024-10-20T13:05:17,+779.39,USD,Medical expenses
453,2024-02-10T16:55:30,-229.66,USD,Grocery shopping
454,2024-07-04T03:48:49,-613.46,USD,Videogames
455,2024-02-20T00:21:24,-426.7,USD,Medical expenses
456,2024-03-21T21:01:04,-936.79,USD,Restaurant bill
457,2024-10-08T09:51:27,+560.73,USD,Medical expenses
458,2024-01-15T16:38:09,+681.88,USD,Online purchase
459,2024-04-09T07:43:00,+134.9,USD,Videogames
460,2024-01-10T11:57:26,+334.09,USD,Restaurant bill
461,2024-01-30T14:28:31,+943.23,USD,Salary
462,2024-07-14T02:04:57,+90.77,USD,Videogames
463,2024-10-14T08:08:45,+559.74,USD,Grocery shopping
464,2024-11-26T12:12:42,+172.5,USD,Utilities bill
465,2024-10-12T02:51:47,+485.7,USD,School expences
466,2024-02-27T10:38:04,-712.95,USD,Online purchase
467,2024-10-20T04:50:36,-914.8,USD,Rent payment
468,2024-03-08T14:29:26,+776.18,USD,Online purchase
469,2024-07-14T01:05:56,-339.81,USD,Grocery shopping
470,2024-09-14T06:15:55,-553.78,USD,Utilities bill
471,2024-01-29T03:04:54,-888.79,USD,Utilities bill
472,2024-07-30T07:22:48,-866.65,USD,Grocery shopping
473,2024-08-26T14:25:05,+774.06,USD,Videogames
474,2024-05-25T00:33:46,-761.79,USD,Salary
475,2024-01-19T15:18:18,-278.88,USD,Restaurant bill
476,2024-07-10T01:01:01,+940.72,USD,Grocery shopping
477,2024-09-12T19:41:36,-369.41,USD,Salary
478,2024-02-01T20:23:38,+632.61,USD,Restaurant bill
479,2024-03-23T15:11:14,-52.09,USD,Refunds
